ID,name,govsystem,x,y,race,prod,activity,tag,civlevel,size,SC
2,James,2,0,0,0,1,22042,[],9,1,1
3,Neutral-2-1Z,2,-1,0,0,0,21873,[],9,2,1
5,Neutral-8-W,0,1,0,2,0,22042,[],9,1,1
7,Neutral-7-1A,2,0,1,1,0,21869,[],9,2,1
9,Neutral-0-1A,2,0,-1,0,1,22005,[],9,3,1
10,Summer,2,0,-1,0,1,22052,[],9,2,1
11,aqws,2,-2,0,2,0,17448,[],3,2,1
12,Neutral-C-F,1,-2,0,0,0,14894,[],1,3,1
15,B1001,2,0,2,0,2,22290,[],9,3,1
16,Chani,2,0,-2,0,2,21796,[],9,2,1
17,TWIT,2,1,1,0,1,21770,[],9,1,1
19,Neutral-A-1V,2,-1,1,2,1,22009,[],9,2,1
20,Neutral-J-1Q,2,-1,1,1,1,21759,[],9,1,1
23,Neutral-H-W,2,-1,-1,0,0,21871,[],9,1,1
24,Neutral-4-1P,1,-3,0,0,0,15062,[],1,1,1
25,Rennes,2,-3,0,0,0,20254,[],4,1,1
26,Anne,2,-3,0,0,0,20262,[],4,2,1
27,Responsibility,0,3,0,2,2,21950,[],9,2,1
28,RisingTide,0,3,0,1,1,21930,[],9,4,1
29,Zamolek,2,0,3,2,2,22240,[],9,2,1
30,Richese,2,0,-3,0,0,2946,[],1,3,1
31,WallachIX,2,0,-3,1,0,2946,[],1,2,1
32,Jumponit,2,13,28,1,1,22110,[],9,2,1
33,Tortuga,3,13,28,0,1,22473,[],9,1,1
34,Edelweiss,2,13,28,2,1,22112,[],9,1,1
35,DarkV,2,1,3,0,1,22246,[],9,1,1
36,zamorat,2,1,3,2,1,21984,[],9,2,1
37,Raph,3,1,3,0,0,22065,[],9,1,1
38,Nightmare,2,3,1,0,0,21977,[],9,2,1
39,TheSpice,1,3,1,1,2,22318,[],9,1,1
40,BelIiLO0o,2,-1,3,1,0,22146,[],9,2,1
41,Maitena,2,-3,1,1,1,20056,[],4,2,1
42,Bangkorai,2,1,-3,2,1,21726,[PASTA],9,1,1
43,Glenumbrie,2,1,-3,1,2,21734,[PASTA],9,2,1
44,havretempete,2,1,-3,2,0,21807,[PASTA],9,4,1
45,GoPlay,1,3,-1,2,1,21864,[],9,2,1
46,WithYourself,1,3,-1,2,2,21827,[],9,2,1
47,MinionAT,0,3,-1,1,2,20882,[],7,2,1
48,BaronVonFartbag,2,-1,-3,1,1,2962,[],1,1,1
49,Secundus,2,-1,-3,0,2,2962,[],1,2,1
50,nfgd,1,-3,-1,1,1,19741,[],4,1,1
51,Smag,1,-3,-1,0,2,19149,[],4,2,1
52,Protopan,3,-20,-20,0,1,27445,[],17,1,1
53,Mars,3,17,28,0,1,22990,[],8,2,1
54,Venus,2,17,28,1,0,23830,[],9,2,1
55,Earth,2,17,28,0,0,23562,[],9,2,1
56,UDeveli,3,-12,-26,0,1,23732,[],10,2,1
57,Usiququmadevu,2,-12,-26,0,1,22825,[],8,1,1
58,CarpeKoi,3,22,22,0,1,28417,[],20,2,1
59,Darkness,2,22,22,2,2,20814,[],5,2,1
60,Ravenclaw,2,15,6,2,1,23671,[],9,1,1
61,Augustiner,3,15,6,0,2,23397,[],9,1,1
62,NotaTeaCup,3,-10,10,0,1,22913,[],9,1,1
63,Madhatter,1,-10,10,1,0,23129,[],8,2,1
64,Late,1,-10,10,1,2,23054,[],8,2,1
65,MandarinTree,2,30,4,1,0,19229,[],5,3,1
66,GoldCity,3,30,4,0,1,22267,[],10,2,1
68,Drahcirmos,3,2,2,0,2,22069,[MNKY],9,2,1
69,SuperPlanetAT,2,-2,2,1,2,15598,[],1,1,1
70,Alderan,0,2,-2,0,0,21329,[],8,1,1
71,Allanach,0,2,-2,2,1,21099,[],7,3,1
72,Neutral-11-U,1,-2,-2,0,1,15042,[],1,1,1
73,Belladonna,3,-2,-2,0,2,27509,[_TDT_],18,1,1
74,Neutral-1V-V,1,-2,-2,1,2,15043,[],1,2,1
75,Panzani,3,4,-7,0,0,22999,[PASTA],9,1,1
76,Bishop,3,6,4,0,0,22292,[],9,1,1
77,Mordor,3,10,10,0,1,25012,[blue],14,1,1
78,Rivendell,3,30,30,0,1,20405,[],5,2,1
79,Catherine,2,-4,0,0,0,20097,[],4,1,1
80,Natacha,2,-4,0,1,0,20135,[],4,2,1
81,Sandrine,2,-4,0,0,2,20012,[],4,2,1
82,TheFutureIsNow,2,4,0,1,0,22036,[],9,2,1
83,OldMan,2,4,0,0,0,22023,[],9,2,1
87,Paul,2,0,-4,0,2,3000,[],1,2,1
88,Neutral-1C-I,1,0,-4,2,0,15062,[],1,3,1
89,Muaddib,2,0,-4,2,0,3000,[],1,1,1
90,Whocares,3,-30,-29,0,0,23480,[],9,2,1
91,Planet_1,3,-10,-10,0,2,22504,[],8,1,1
92,Tartagle,2,-10,-10,0,0,21292,[],6,1,1
93,Samba,2,-10,-10,2,2,21136,[],6,1,1
94,Hoop,2,14,24,1,2,18449,[],3,2,1
95,Friend,3,14,24,0,0,23461,[],9,2,1
96,Thorston,3,8,8,0,2,23870,[NAH],11,2,1
97,Neutral-7-1,2,8,8,2,1,22167,[],9,1,1
98,Yolo,3,6,-7,0,1,23129,[PASTA],9,3,1
99,Lille,2,6,-7,0,0,23310,[PASTA],9,3,1
100,ButteHold,3,1,4,0,1,16257,[],2,2,1
101,DHCP,2,1,4,0,1,22027,[],9,2,1
102,STATIC,2,1,4,1,0,22148,[],9,1,1
103,Felucia-1U-1B,2,4,1,2,1,21027,[],9,2,1
104,SuperPlanet,3,-1,4,0,2,26178,[666],17,2,1
105,SuperPlanetXT,2,-1,4,2,2,19514,[],9,2,1
106,SuperPlanetHT,2,-1,4,0,2,22292,[],9,3,1
107,AnneSophie,2,-4,1,0,1,19839,[],4,3,1
108,Caen,2,-4,1,1,1,19734,[],4,1,1
109,Gargantua,2,1,-4,2,0,22969,[PASTA],9,1,1
